Code,Description
H00578,"The herb Mangifera indica is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00580,"Erodium stephanianum is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00581,"Populus tomentosa is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00582,"In botanical studies, Caragana tibetica has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00583,"Digitalis purpurea is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00584,"The herb Ilex pubescens is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00585,"Drosera peltata var. lunata is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00586,"Rhododendron seniavinii is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00587,"The herb Isodon trichocarpa is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00588,"Actinidia eriantha is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00590,"The herb Datura innoxia is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00591,"Clerodendranthus spicatus is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00592,"Veratrum grandiflorum is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00593,"Rabdosia japonica is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00594,"Radix Ranunculi Terti is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00595,"Corydalis rosea is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00596,"Flos Rosae Rugosae is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00597,"Flos Mume is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00598,"Mitragyna speciosa is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00599,"Actinidia deliciosa is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00600,"In botanical studies, Parmelia tinctorum has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00602,"In botanical studies, Glycyrrhiza lepidota has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00603,"Hamamelis virginiana is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00604,"In botanical studies, Celastrus scandens has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00605,"Astragalus mongholicus is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00606,"Actinidia arguta is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00608,"Libanotis condensata is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00610,"Flos Buddlejae is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00612,"In botanical studies, Isodon lasiocarpus has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00613,"Changium smyrnioides is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00615,"The herb Ephedra przewalskii is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00616,"herba ecliptae is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00617,"Myrrha is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00618,"Cortex Moutan is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00619,"Fructus Caryophylli is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00620,"Fructus Chaenomelis is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00621,"The herb Semen Oroxyli is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00622,"In botanical studies, Oroxylum indicum has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00623,"Hibiscus syriacus is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00624,"In botanical studies, Folium Viticis Negundo has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00625,"Matricaria chamomilla [Syn. Matricaria recutita ] is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00626,"Crassostrea gigas is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00628,"Flos Gossampini is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00629,"In botanical studies, Actinidia polygama has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00630,"Caulis Aristolochiae seu Clematis is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00631,"The herb Radix Aucklandiae is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00632,"In botanical studies, Herba Equiseti Hiemalis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00633,"The herb Ephedra equisetina is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00634,"The herb Microtoena prainiana is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00635,"In botanical studies, Cuscuta australis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00636,"Harpagophytum procumbens is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00637,"Salvia sclarea is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00638,"Radix Adenophorae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00639,"Celastrus orbiculatus [Syn. Celastrus articulatus ] is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00641,"In botanical studies, Flos Rhododendri Mollis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00643,"The herb Geranium nepalense is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00645,"In botanical studies, Citrus limon has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00646,"In botanical studies, Lycium barbarum has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00647,"The herb Arctium lappa is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00648,"The herb Fructus Arctii lappae is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00650,"Calculus Bovis is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00651,"In botanical studies, Sonchus arvensis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00652,"In botanical studies, Radix Achyranthis bidentatae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00653,"The herb Fructus Ligustri lucidi is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00654,"Radix Oryzae Glutinosae is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00655,"Fructus Ligustri lucidi is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00656,"Mentha longifolia is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00657,"In botanical studies, Levisticum officinale has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00659,"In botanical studies, nodus nelumbinis rhizomatis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00660,"The herb Erica arborea is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00661,"Nelumbinis rhizomatis Preparata is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00662,"Asarum europaeum is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00663,"Glycyrrhiza glabra var. typica is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00664,"The herb Aesculus hippocastanum is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00665,"The herb Derris scandens is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00667,"In botanical studies, Herba Eupatorii has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00669,"Humulus lupulus is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00670,"Cuscuta lupuliformis is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00671,"The herb Folium Eriobotryae is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00673,"The herb Rhizoma Wenyujin Concisum is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00675,"Fructus Psoraleae Corylifoliae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00676,"Camellia sinensis var. assamica is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00677,"The herb Taraxacum mongolicum is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00678,"pollen typhae is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00681,"Vitis vinifera is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00682,"Aesculus chinensis is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00683,"The herb radix Peucedani is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00684,"Radix Moghaniae Philippinensis is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00685,"Stephania japonica is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00686,"Senecio scandens is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00687,"Rhizoma Homalomee occultae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00688,"Semen Pharbitidis is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00689,"In botanical studies, Lythrum salicaria has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00690,"Semen Euryales is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00692,"In botanical studies, Erythrina arborescens has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00694,"In botanical studies, Radix Gentiae macrophyllae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00695,"In botanical studies, Panax japonicus var. major has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00696,"In botanical studies, Cortex Fraxini has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00698,"Herba Artemisiae Annuae is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00699,"The herb Vatica rassak is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00700,"Pericarpium Citri Reticulatae Viride is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00701,"Herba Nerviliae is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00703,"Flemingia strobilifera is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00704,"The herb herba Dianthi is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00705,"The herb Rhizoma Bistortae is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00706,"The herb Genista tinctoria is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00707,"The herb Lonicera japonica is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00708,"The herb Panax ginseng is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00709,"Panax ginseng x P . quinquefolium is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00710,"Folium Ginseng is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00712,"Magnolia obovata is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00713,"The herb Chamaecyparis pisifera is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00714,"In botanical studies, Phellodendron japonicum has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00716,"Lythrum anceps is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00717,"In botanical studies, Prunus yedoensis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00718,"Herba Cistanches is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00719,"Cortex Cinmomi is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00720,"Resi oliani is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00721,"The herb Rhododendron lingii is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00722,"Heracleum lanatum is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00723,"Nux Prinsepiae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00724,"Rhizoma seu Herba Saururi is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00725,"Cephalotaxus fortunei is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00726,"In botanical studies, Rhizoma Sparganii has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00727,"Radix Notoginseng is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00729,"The herb Erica umbellata is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00730,"In botanical studies, Phellinus igniarius has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00731,"Herba Taxilli is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00732,"Ootheca Mantidis is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00733,"In botanical studies, Fructus Mori has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00734,"The herb Folium Mori is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00735,"Ramulus Mori is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00736,"In botanical studies, fructus hippophae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00737,"Fructus Amomi is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00738,"In botanical studies, Radix Glehniae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00739,"Sophora moorcroftiana is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00740,"The herb Helichrysum arenarium is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00742,"Semen Astragali Complati is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00743,"In botanical studies, Aconitum monticola has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00744,"In botanical studies, Radix Sophorae Tonkinensis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00746,"Diphylleia grayi is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00747,"Ixeris chinensis is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00748,"Crataegus pinnatifida var. major is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00749,"Ephedra gerardiana is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00750,"In botanical studies, Desmodium racemosum has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00751,"In botanical studies, Rhizoma Kaempferiae has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00752,"In botanical studies, Prunus davidiana has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00753,"The herb Prunus davidiana is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00754,"In botanical studies, Lactuca indica has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00755,"Sanguis Naemorhedi is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00756,"Vicia amoena is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00757,"Crataegus pinnatifida is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00758,"Semen Crataegi is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00760,"In botanical studies, Fructus Corni has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00761,"Garcinia multiflora is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00763,"Fructus Cnidii is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00764,"Rhizoma Belamcandae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00765,"The herb Ampelopsis brevipedunculata is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00766,"Moschus moschiferus, Moschus berezovskii, Moschus sifanicus is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00767,"Thymus vulgaris is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00768,"Andrographis elongata is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00769,"Rhodiola coccinea is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00770,"Rhodiola sacra is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00771,"Radix Rehmanniae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00772,"Ageratum conyzoides is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00773,"Sophora Japonica L is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00775,"Rhizoma Cimicifugae is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00776,"Rhizoma Acori Talarinowii is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00777,"In botanical studies, Calyx Kaki has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00778,"Herba Dendrobii is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00779,"In botanical studies, Evodia rutaecarpa var. officinalis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00780,"Concha Haliotidis is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00781,"The herb Fructus Quisqualis is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00782,"Pericarpium Grati is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00783,"Gentianopsis paludosa is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00784,"Psilotum nudum is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00785,"Diospyros kaki is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00787,"Rhamnus davurica is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00788,"Geranium sibiricum is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00789,"The herb Ephedra procera is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00790,"The herb Flos Lonicerae is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00791,"In botanical studies, Ephedra distachya has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00793,"In botanical studies, Fructus Polygoni Orientalis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00794,"Veronica anagalis aquatica L. is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00795,"Saussurea medusa is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00796,"The herb Oldenlandia corymbosa is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00797,"Schnabelia tetradonta is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00798,"In botanical studies, Folium Llicis Chinensis has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00799,"Rhodiola quadrifida is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00800,"The herb Lignum Pini Nodi is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00801,"In botanical studies, Folium Pini has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00802,"Cola acuminata is a medicinal plant traditionally used for its therapeutic properties. It has been studied for potential applications in herbal medicine, cooking, and natural remedies."
H00803,"In botanical studies, Styrax has been documented for its pharmacological activities. It is commonly employed as a herbal remedy in various traditional medicine systems."
H00804,"Caesalpinia sappan is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00805,"Tamarindus indica is a plant species recognized for its role in herbal medicine. It has been applied historically in Ayurveda, Traditional Chinese Medicine, and other systems of natural healing."
H00806,"Rumex acetosa is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
H00807,"The herb Ziziphus jujuba var. spinosa is known in ethnobotany for its unique phytochemical profile. It has been used in traditional healing practices and may contribute to wellness when prepared in teas, powders, or extracts."
H00808,"Semen Aesculi is valued in herbal medicine for its natural compounds and therapeutic uses. It is often prepared in decoctions, infusions, or as an ingredient in herbal formulations."
