DrugID,Descriptions
F00124,"Low-Fat, Low-Caloric Meal refers to a diet with lower calories and lower fat content."
F00125,"Low-Fat, Vegetarian Meal refers to a vegetarian diet with lower fat content."
F00127,"Low-Fat, High-Carbohydrate Meal refers to a diet with high carbohydrate and lower fat content."
F00128,"Low-Fat, Non-Vegetarian Meal refers to a Non-vegetarian diet with lower fat content."
F00129,"An egg is the organic vessel containing the zygote, resulting from fertilization of the ovum, in which an animal embryo develops until it can survive on its own, at which point the animal hatches. Most arthropods, vertebrates, and mollusks lay eggs, although some do not, e.g. scorpions and most mammals. Oviparous animals are those that lay eggs, with little or no other development within the mother. The study or collecting of eggs, particularly bird eggs, is called oology. The term ""egg"" is used differently outside the animal kingdom. Reproductive structures similar to the egg in other kingdoms are termed ""spores,"" or in spermatophytes ""seeds,"" or in gametophytes ""egg cells""."
F00130,"Folic acid is a derivative of pteridine, initially isolated from the liver, but later found to be very abundant in the green leaves of plants, hence the name folic acid. It is widely found in meat, fresh fruits, and vegetables. It is a yellow crystalline powder, odorless and tasteless. Its sodium salt is easily soluble in water, insoluble in alcohol, ether, and other organic solvents. It is insoluble in cold water but slightly soluble in hot water. It is unstable in acidic solutions and easily damaged by light."
F00131,Low-Protein Meal refers to a diet with lower protein content.
F00132,"Mexican diet which consisted of two fried eggs with tomato, onion and chili, two slices of bacon, chilaquiles (tortillas (55 g) with tomato, chili and cream (12 g) and a glass of milk (240 ml) (fat 57.1%, protein 16%, carbohydrates 26%, 963.5 kcal)."
F00133,"High-Carbohydrate, Low-Protein Meal refers to a diet with lower protein content and higher carbohydrate content."
F00134,High-Carbohydrate Meal refers to a diet with higher carbohydrate content.
F00135,"High-Calcium, Moderate-Fat, Moderate-Caloric Meal refers to a diet with moderate caloric, higher calcium content and moderate fat content."
F00140,"In normal-fat meal, fat accounted for approximately 189 of total calories, Carbohydrate 268 kCal, Protein 76 kCal In Protein-rich drink (Ensure), fat accounted for approximately 72 of total calories, Carbohydrate 153 kCal, Protein 75 kCal"
F00141,"A liquid diet consists only of liquids instead of solid food. This includes homemade or store-bought juices and smoothies, homemade protein shakes, premade protein shakes and store-bought liquid meal replacements."
F00142,"Light meals with low calories, low fat and high fiber have become very popular in world."
F00143,"Homogenized Meal have 400 ml,caloric value 490 kCal, made up of 50% carbohydrate, 30% lipid, 20% protein"
F00144,High-Purine Meal refers to a diet with higher purine content.
F00145,High-Protein Meal refers to a diet with higher protein content.
F00146,"High-Fiber Meal, also known as a high residue diet, refers to a diet that contains more dietary fiber."
F00147,"High-Fat, Vegetarian Meal refers to a vegetarian diet with higher fat content."
F00148,"High-Fat, Non-Vegetarian Meal refers to a non-vegetarian diet with higher fat content."
F00149,"High-Fat, Non-dairy Meal refers to a Non-dairy diet with higher fat content."
F00151,"High-Fat, High-Calcium Meal refers to a diet with higher fat ratio and higher calcium content."
F00152,High-Caloric Meal refers to a diet with High Caloric.
F00153,French Breakfast is a meal with very low protein content.
F00155,"Croissant with coffee (treatment E: 240 kcal, 12 g fat, 28 g carbohydrate, 5 g protein)"
F00156,"Continental Breakfast is the breakfast method used by the British in the English context to refer to various countries on the European continent. However, over time, the meaning of the word ""continental breakfast"" has now evolved into ""simple breakfast"", which is a simple breakfast that only provides coffee, tea, milk, butter, jam, bread and juice. This kind of breakfast usually does not provide cereal Congee, meat, sausage and eggs."
F00157,Carbohydrate meal refers to a dietary structure that is mainly composed of carbohydrates.
F00158,Flavonoids are widely present in natural plants and are secondary metabolites of plants.
F00159,"Morus nigra, the black mulberry, is a species of flowering plant in the family Moraceae, native to southwestern Asia, where it has been cultivated for so long that its precise natural range is unknown. The edible fruit is dark purple, almost black, when ripe, 2-3 centimetres (0.8-1.2 in) long, a compound cluster of several small drupes; it is richly flavoured, similar to the red mulberry (Morus rubra) but unlike the more insipid fruit of the white mulberry (Morus alba)."
F00160,"Flax (also known as common flax or linseed) is a member of the genus Linum in the family Linaceae. It is a food and fibre crop that is grown in cooler regions of the world. Flax fibres are taken from the stem of the plant and are two to three times as strong as those of cotton. As well, flax fibres are naturally smooth and straight. Europe and North America depended on flax for cloth until the nineteenth century, when cotton overtook flax as the most common plant used for making linen paper. Flax is grown on the Canadian Praires for linseed oil, which is used as a drying oil in paints and varnish and in products such as linoleum and printing inks. It is native to the region extending from the eastern Mediterranean to India and was probably first domesticated in the Fertile Crescent. Flax was extensively cultivated in ancient Ethiopia and ancient Egypt. A discovery reported in 2009 of spun, dyed, and knotted wild flax fibers in a prehistoric cave in the Republic of Georgia shows that the plant was already in use by humans at the surprisingly early date of 30,000 B.C. New Zealand flax is not related to flax but was named after it, as both plants are used to produce fibers."
F00161,"Watercress (Nasturtium officinale), is a fast-growing, aquatic or semi-aquatic, perennial plant native to Europe and Asia, and one of the oldest known leaf vegetables consumed by humans. It is a member of the family Brassicaceae, botanically related to garden cress, mustard and radish — all noteworthy for a peppery, tangy flavour. The hollow stems of watercress are floating, and the leaves are pinnately compound. Small, white and green flowers are produced in clusters."
F00162,"The grapefruit (Citrus × paradisi) is a subtropical citrus tree known for its sour to semi-sweet fruit, an 18th-century hybrid first bred in Barbados. When found, it was named the ""forbidden fruit""; and it has also been misidentified with the pomelo or shaddock (C. maxima), one of the parents of this hybrid, the other being sweet orange (C. × sinensis). The evergreen grapefruit trees usually grow to around 5?6 meters (16?20 ft) tall, although they can reach 13?15 m (43-49 ft). The leaves are glossy dark green, long (up to 15 centimeters (5.9 in)) and thin. It produces 5 cm (2 in) white four-petaled flowers. The fruit is yellow-orange skinned and generally an oblate spheroid in shape; it ranges in diameter from 10?15 cm (3.9-5.9 in). The flesh is segmented and acidic, varying in color depending on the cultivars, which include white, pink and red pulps of varying sweetness (generally, the redder varieties are sweeter). The 1929 US Ruby Red (of the Redblush variety) has the first grapefruit patent."
F00163,"Eruca sativa (syn. E. vesicaria subsp. sativa (Miller) Thell., Brassica eruca L.) is an edible annual plant, commonly known as salad rocket, roquette, rucola, rugula, colewort, and, in the United States, arugula. It is sometimes conflated with Diplotaxis tenuifolia, the perennial wall rocket, another plant of the Brassicaceae family, which in the past was used in the same manner. Eruca sativa, which is widely popular as a salad vegetable, is a species of Eruca native to the Mediterranean region, from Morocco and Portugal in the west to Syria, Lebanon and Turkey in the east. The Latin adjective sativa in the plant's binomial is derived from satum, the supine of the verb sero, meaning ""to sow"", indicating that the seeds of the plant were sown in gardens. Eruca sativa differs from E. vesicaria in having early deciduous sepals. Some botanists consider it a subspecies of Eruca vesicaria: E. vesicaria subsp. sativa. Still others do not differentiate between the two."
F00164,"Kefir is a fermented milk drink that originated with shepherds of the North Caucasus region, who discovered that fresh milk carried in leather pouches would occasionally ferment into an effervescent beverage. It is prepared by inoculating cow, goat, or sheep's milk with kefir grains. Traditional kefir was made in skin bags that were hung near a doorway; the bag would be knocked by anyone passing through the doorway to help keep the milk and kefir grains well mixed."
F00165,"The Brussels sprout is a cultivar in the Gemmifera group of cabbages, grown for its edible buds. The leafy green vegetables are typically 2.5–4 cm (0.98–1.6 in) in diameter and look like miniature cabbages. The Brussels sprout has long been popular in Brussels, Belgium, and may have originated there."
F00166,"Caraway (Carum carvi), also known as meridian fennel, or Persian cumin, is a biennial plant in the family Apiaceae, native to western Asia, Europe and Northern Africa. The plant is similar in appearance to other members of the carrot family, with finely divided, feathery leaves with thread-like divisions, growing on 20–30 cm stems. The main flower stem is 40–60 cm tall, with small white or pink flowers in umbels. Caraway fruits are crescent-shaped achenes, around 2 mm long, with five pale ridges."
F00167,"The pomelo (Citrus maxima or Citrus grandis), pummelo, pommelo, or shaddock is a crisp citrus fruit native to South and Southeast Asia. It is usually pale green to yellow when ripe, with sweet white (or, more rarely, pink or red) flesh and very thick albedo (rind pith)."
F00168,"Tartary buckwheat (Fagopyrum tataricum) also known as duckwheat, India buckwheat, India wheat, green buckwheat, or bitter buckwheat, is a domesticated food plant in the genus Fagopyrum (sometimes merged into the genus Polygonum) in the family Polygonaceae. With another species in the same genus, common buckwheat, it is often counted as a cereal, but unlike the true cereals the buckwheats are not members of the grass family. Thus they are not related to true wheat. Tartary buckwheat is bitterer, but contains more rutin than common buckwheat. It also contains quercitrin. Tartar buckwheat was domesticated in east Asia. While it is unfamiliar to the West, it is still eaten in the Himalayan region today."
F00169,"The garden strawberry (or simply strawberry; Fragaria × ananassa) is a widely grown hybrid species of the genus Fragaria (collectively known as the strawberries). It is cultivated worldwide for its fruit. The fruit (which is not a botanical berry, but an aggregate accessory fruit) is widely appreciated for its characteristic aroma, bright red color, juicy texture, and sweetness. It is consumed in large quantities, either fresh or in such prepared foods as preserves, fruit juice, pies, ice creams, milkshakes, and chocolates. Artificial strawberry aroma is also widely used in many industrial food products. As strawberry flavor and fragrance are popular characteristics for consumers,they are used widely in a variety of manufacturing, including foods, beverages, confections, perfumes and cosmetics. "
F00170,"Today, the majority of lettuce is grown for its leaves, although one type is grown for its stem and one for its seeds, which are made into an oil. Most lettuce is used in salads, either alone or with other greens, vegetables, meats and cheeses. Romaine lettuce is often used for Caesar salads, with a dressing that includes anchovies and eggs. Lettuce leaves can also be found in soups, sandwiches and wraps, while the stems are eaten both raw and cooked."
F00171,"An apricot is a fruit or the tree that bears the fruit. Usually, an apricot tree is from the tree species Prunus armeniaca, but the species Prunus brigantina, Prunus mandshurica, Prunus mume, and Prunus sibirica are closely related, have similar fruit, and are also called apricots."
F00172,"The almond (Prunus dulcis, syn. Prunus amygdalus, Amygdalus communis, Amygdalus dulcis) is a species of tree native to the Middle East and South Asia. ""Almond"" is also the name of the edible and widely cultivated seed of this tree."
F00173,"Guavas (singular guava) are plants in the Myrtle family (Myrtaceae) genus Psidium, which contains about 100 species of tropical shrubs and small trees. Guava juice is popular in many countries. The fruit is also often prepared in fruit salads."
F00174,"The radish (Raphanus sativus) is an edible root vegetable of the Brassicaceae family that was domesticated in Europe in pre-Roman times. They are grown and consumed throughout the world. Radishes have numerous varieties, varying in size, color and duration of required cultivation time. There are some radishes that are grown for their seeds; oilseed radishes are grown, as the name implies, for oil production. Radish can sprout from seed to small plant in as little as 3 days."
F00175,"Sorbus aucuparia, commonly called rowan and mountain-ash, is a species of deciduous tree or shrub in the rose family. It is a highly variable species, and botanists have used different definitions of the species to include or exclude trees native to certain areas; a recent definition includes trees native to most of Europe and parts of Asia, as well as northern Africa. The range extends from Madeira and Iceland to Russia and northern China. Unlike many plants with similar distributions, it is not native to Japan. Fruit and foliage of S. aucuparia have been used by humans in the creation of dishes and beverages, as a folk medicine, and as fodder for livestock."
F00176,"A hazelnut is the nut of the hazel and is also known as cobnut or filbert nut according to species. The kernel of the seed is edible and used raw or roasted, or ground into a paste. Hazelnuts are also used for livestock feed, as are chestnuts and acorns. The seed has a thin, dark brown skin, which is sometimes removed before cooking. Hazelnuts are rich in protein and unsaturated fat. Moreover, they contain significant amounts of thiamine and vitamin B6, as well as smaller amounts of other B vitamins."
F00177,"Potassium is an important electrolyte and the third most abundant mineral in the human body, playing many important functions, such as balancing fluid and mineral levels in the body. Foods rich in potassium include avocados, bananas, avocados, spinach, etc"
F00178,"Some foods are naturally higher in tyramine. Tyramine levels also increase when food is aged or fermented. Your amount will depend on your symptoms, medical history, and medications. Some foods high in tyramine include:Aged cheeses, Alcohol (wine and beer), Cured meat and processed meat (salami, sausage, bacon, cold cuts), Concentrated yeast (marmite, vegemite), Coffee, Chocolate, Soy sauce, teriyaki sauce, miso, Fermented foods (kimchi, sauerkraut, kefir, tofu), Aged bananas, avocado, grapes, citrus fruits."
F00179,"Fish oil is oil derived from the tissues of oily fish. Fish oils contain the omega-3 fatty acids eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA), precursors of certain eicosanoids that are known to reduce inflammation in the body and improve hypertriglyceridemia. Fish oil has been shown the benefit for cardiovascular disease. The most promising evidence supports supplementation for prevention of cardiac death."
F00180,"Lemon balm (Melissa officinalis), not to be confused with bee balm (which is genus Monarda), is a perennial herb in the mint family Lamiaceae, native to southern Europe and the Mediterranean region. It grows to 70–150 cm tall. The leaves have a gentle lemon scent, related to mint. During summer, small white flowers full of nectar appear. These attract bees, hence the genus name Melissa (Greek for 'honey bee'). Its flavour comes from citronellal (24%), geranial (16%), linalyl acetate (12%) and caryophyllene (12%)."
F00181,"Coffea arabica is a species of Coffea originally indigenous to the mountains of the southwestern highlands of Ethiopia. It is also known as the ""coffee shrub of Arabia"", ""mountain coffee"" or ""arabica coffee"". Coffea arabica is believed to be the first species of coffee to be cultivated, being grown in southwest Ethiopia for well over 1,000 years. It is said to produce better tasting coffee than the other major commercially grown coffee species, Coffea canephora (robusta), because robusta cherries contain twice as much caffeine as arabica. Caffeine itself has a bitter taste, making robusta more bitter. C. arabica contains less caffeine than any other commercially cultivated species of coffee."
F00182,"Cocoa bean (also cacao bean, often simply cocoa and cacao; Mayan: kakaw; Nahuatl: cacaua) is the dried and fully fermented fatty seed of Theobroma cacao, from which cocoa solids and cocoa butter are extracted. They are the basis of chocolate, as well as many Mesoamerican foods such as mole sauce and tejate."
F00183,"Vaccinium uliginosum (Bog Bilberry or Northern Bilberry) is a flowering plant in the genus Vaccinium. The fruit is a dark blue-black berry 5–8 millimetres (0.20–0.31 in) diameter, with a white flesh, edible and sweet when ripe in late summer."
F00184,"Vaccinium angustifolium, commonly known as the Lowbush Blueberry, is a species of blueberry native to eastern and central Canada and the northeastern United States, growing as far south as West Virginia and west to the Great Lakes region, Minnesota and Manitoba. Vaccinium angustifolium is a low spreading deciduous shrub growing to 60 cm tall, though usually 35 cm tall or less. The leaves are glossy blue-green in summer, turning purple in the fall. The leaf shape is broad to elliptical. Buds are brownish red in stem axils. The flowers are white, bell-shaped, 5 mm long. The fruit is a small sweet dark blue to black berry."
F00185,"Blackcurrant, with the scientific name Ribes nigrum, is a species of Ribes native to central and northern Europe, and northern Asia. It is widely cultivated commercially and domestically as a temperate fruit crop for its abundant berries. It is less well known in the United States where it has been subject to restrictions as a disease vector for most of the 20th century."
F00186,"Prunus avium, commonly called wild cherry, sweet cherry, bird cherry, or gean, is a species of cherry native to Europe, western Turkey, northwestern Africa, and western Asia, from the British Isles south to Morocco and Tunisia, north to the Trondheimsfjord region in Norway and east to the Caucasus and northern Iran, with a small disjunct population in the western Himalaya. This species, in the rose family (Rosaceae), has a diploid set of sixteen chromosomes (2n=16). All parts of the plant except for the ripe fruit are slightly toxic, containing cyanogenic glycosides."
F00187,"The consumption of fruit and fruit extracts with diet is one of the traditional and existing habits which helps supplement the critical nutrition to the body. Among them, citrus fruits are important food and energy sources and play an important role in a balanced diet. Citrus jabara belongs to this family and is a prominent characteristic feature of small trees or shrubs with fleshy fruits. C. jabara mainly contains up to 50% of its total soluble sugars like glucose and fructose, along with sugars pectin, oil, and citric acids present."
F00188,"Olive oil is a liquid obtained from olives (the fruit of Olea europaea; family Oleaceae), a traditional tree crop of the Mediterranean Basin. The oil is produced by pressing whole olives. It is commonly used in cooking, whether for frying or as a salad dressing.It consists mainly of oleic acid (up to 83%), with smaller amounts of other fatty acids including linoleic acid (up to 21%) and palmitic acid (up to 20%)."
F00189,"Musa × paradisiaca is the accepted name for the hybrid between Musa acuminata and Musa balbisiana. Most cultivated bananas and plantains are triploid cultivars either of this hybrid or of M.  acuminata. Linnaeus originally used the name M.  paradisiaca only for plantains or cooking bananas, but the modern usage includes hybrid cultivars used both for cooking and as dessert bananas."
F00190,"Cinnamomum cassia, called Chinese cassia or Chinese cinnamon, is an evergreen tree originating in southern China, and widely cultivated there and elsewhere in southern and eastern Asia (India, Indonesia, Laos, Malaysia, Taiwan, Thailand, and Vietnam). It is one of several species of Cinnamomum that are used primarily for their aromatic bark, which is used as a spice. In the United States of America, Chinese cassia is often sold under the culinary name of ""cinnamon"". The buds are also used as a spice, especially in India, and were once used by the ancient Romans."
F00191,"Widely-used sweetening agent. All salts intensely sweet. Permitted in foods at levels of 80-1200 ppm in EU Although saccharin was commercialized not long after its discovery, it was not until sugar shortages during World War I that its use became widespread. In countries where saccharin is allowed as a food additive, it is used to sweeten products such as drinks, candies, medicines, and toothpaste."
F00192,"Phaseolus vulgaris, the common bean, string bean, field bean, flageolet bean, French bean, garden bean, haricot bean, pop bean, or snap bean, is a herbaceous annual plant grown worldwide for its edible fruit, either the dry seed or the unripe fruit, both of which are referred to as beans. The leaf is also occasionally used as a vegetable, and the straw can be used for fodder. Along with other species of the bean genus (Phaseolus), it is classified botanically into the legume family (Fabaceae), most of whose members acquire nitrogen through an association with rhizobia, a species of nitrogen-fixing bacteria."
F00193,"The pistachio, Pistacia vera in the Anacardiaceae family, is a small tree originally from Greater Iran which now can also be found in regions of Syria, Lebanon, Turkey, Greece, Tunisia, Kyrgyzstan, Tajikistan, Turkmenistan, India, Pakistan, Egypt, Italy, Uzbekistan, Afghanistan (especially in the provinces of Samangan and Badghis), and the United States, specifically in California. The tree produces an important culinary nut. Pistacia vera often is confused with other species in the genus Pistacia that are also known as pistachio. These species can be distinguished from P. vera by their geographic distributions (in the wild) and their nuts which are much smaller, have a strong flavor of turpentine, and have a shell that is not hard."
F00194,"The beetroot is the taproot portion of the beet plant, also known in North America as the table beet, garden beet, red or golden beet, or informally simply as the beet. It is several of the cultivated varieties of beet (Beta vulgaris) grown for their edible taproots and their greens. These varieties have been classified as B. vulgaris subsp. vulgaris Conditiva Group. Other than as a food, its uses include food coloring and as a medicinal plant. Many beet products are made from other Beta vulgaris varieties, particularly sugar beet."
F00195,"Daucus carota, whose common names include wild carrot, bird's nest, bishop's lace, and Queen Anne's lace (North America), is a flowering plant in the family Apiaceae, native to temperate regions of Europe, southwest Asia and naturalized to North America and Australia. Domesticated carrots are cultivars of a subspecies, Daucus carota subsp. sativus."
F00196,"Soursop is the fruit of Annona muricata, a broadleaf, flowering, evergreen tree native to Mexico, Cuba, Central America, the Caribbean and northern South America: Colombia, Brazil, Peru, Ecuador and Venezuela. Soursop is also produced in Somalia. Today, it is also grown in some areas of Southeast Asia, as well as in some Pacific islands. It was most likely brought from Mexico to the Philippines by way of the Manila-Acapulco Galleon trade. It is in the same genus as the chirimoya and the same family as the pawpaw. Soursop, raw, edible parts Nutritional value per 100 g Energy 276 kJ Carbohydrates 16.84 g - Sugars 13.54 g - Dietary fiber 3.3 g Fat 0.30 g Protein 1.00 g Vitamin A equiv. 0 μg (0%) Thiamine (vit. B1) 0.070 mg (6%) Riboflavin (vit. B2) 0.050 mg (4%) Niacin (vit. B3) 0.900 mg (6%) Vitamin B6 0.059 mg (5%) Folate (vit. B9) 14 μg (4%) Vitamin C 20.6 mg (25%) Calcium 14 mg (1%) Iron 0.6 mg (5%) Magnesium 21 mg (6%) Phosphorus 27 mg (4%) Potassium 278 mg (6%) Zinc 0.1 mg (1%) Percentages are relative toUS recommendations for adults. The soursop is adapted to areas of high humidity and relatively warm winters; temperatures below 5 °C will cause damage to leaves and small branches, and temperatures below 3 °C can be fatal. The fruit becomes dry and is no longer good for concentrate. Other common names include: Evo, Aluguntugui guanábana, graviola, anona, corossol, sorsaka, adunu, Brazilian pawpaw, guyabano, guanavana, toge-banreisi, durian benggala, nangka blanda, sirsak, zuurzak and nangka londa. In Malayalam, it is called mullaatha, literally thorny custard apple. The other lesser-known Indian names are shul-ram-fal and Lakshmana Phala. and in Harar (Ethiopia) in Harari language known for centuries as Amba Shoukh (Thorny Mango or Thorny Fruit). The flavour has been described as a combination of strawberry and pineapple, with sour citrus flavour notes contrasting with an underlying creamy flavour reminiscent of coconut or banana."
F00197,"Pitaya or pitahaya is the fruit of several different cactus species indigenous to the Americas.The fruit's texture is sometimes likened to that of the kiwifruit because of its black, crunchy seeds. The seed oil contains the fatty acids, linoleic acid and linolenic acid."
F00198,"Pachyrhizus erosus, commonly known as jicama, Mexican yam, or Mexican turnip, is the name of a native Mexican vine, although the name most commonly refers to the plant's edible tuberous root. Jícama is a species in the genus Pachyrhizus in the bean family (Fabaceae). Plants in this genus are commonly referred to as yam bean, although the term ""yam bean"" can be another name for jícama. The other major species of yam beans are also indigenous within the Americas. Flowers, either blue or white, and pods similar to lima beans, are produced on fully developed plants. Several species of jicama occur, but the one found in [many] markets is Pachyrrizus erosus. The two cultivated forms of P. erosus are jicama de agua and jicama de leche. The latter has an elongated root and milky juice. The agua form has a top-shaped to oblate root, a translucent juice, and is the preferred form for market."
F00199,"Yam is the common name for some plant species in the genus Dioscorea (family Dioscoreaceae) that form edible tubers. These are perennial herbaceous vines cultivated for the consumption of their starchy tubers in Africa, Asia, Latin America, the Caribbean and Oceania. There are many cultivars of yam. Although some varieties of sweet potato (Ipomoea batatas) are also called yam in parts of the United States and Canada, it is not part of the family Dioscoreaceae; rather it is in the morning glory family Convolvulaceae. The true yam is a versatile vegetable. It can be barbecued, roasted, fried, grilled, boiled, baked, smoked and when grated it is processed into a dessert recipe."
F00200,"Sugar-apple is the fruit of Annona squamosa, the most widely grown species of Annona and a native of the tropical Americas and West Indies. The fruit is round to conical, 5-10 cm (2.0-3.9 in) in diameter and 6-10 cm (2.4-3.9 in) long, and weighing 100-240 g (3.5-8.5 oz), with a thick rind composed of knobby segments. The color is typically pale green to blue-green, with a deep pink blush in certain varieties, and typically has a bloom. It is unique among Annona fruits in being segmented, and the segments tend to separate when ripe, exposing the interior. The flesh is fragrant and sweet, creamy white to light yellow, and resembles and tastes like custard. It is found adhering to 13-16 mm (0.51-0.63 in) long seeds to form individual segments arranged in a single layer around the conical core. It is soft, slightly grainy, and slippery. The hard, shiny seeds may number 20-38 or more per fruit, and have a brown to black coat, although varieties exist that are almost seedless."
F00201,"Green tea is a type of tea that is made from Camellia sinensis leaves and buds that have not undergone the same withering and oxidation process used to make oolong teas and black teas.Green tea originated in China, but its production and manufacture has spread to many other countries in Asia. Several varieties of green tea exist, which differ substantially based on the variety of C. sinensis used, growing conditions, horticultural methods, production processing, and time of harvest."
F00202,"The mung or moong bean (also known as green gram or golden gram) is the seed of Vigna radiata, native to the Indian subcontinent, and mainly cultivated in China, Thailand, Philippines, Indonesia, Burma, Bangladesh and India, but also in hot and dry regions of Southern Europe and the Southern United States. It is used as a foodstuff in both savoury and sweet dishes."
F00203,"Spinach (Spinacia oleracea) is an edible flowering plant in the family of Amaranthaceae. It is native to central and southwestern Asia. It is an annual plant, which grows to a height of up to 30 cm. Spinach may survive over winter in temperate regions. The leaves are alternate, simple, ovate to triangular-based, very variable in size from about 2–30 cm long and 1–15 cm broad, with larger leaves at the base of the plant and small leaves higher on the flowering stem. The flowers are inconspicuous, yellow-green, 3–4 mm diameter, maturing into a small, hard, dry, lumpy fruit cluster 5–10 mm across containing several seeds. Common spinach, Spinacia oleracea, was long considered to be in the Chenopodiaceae family, but in 2003, the Chenopodiaceae family was combined with the Amaranthaceae family under the family name 'Amaranthaceae' in the order Caryophyllales. Within the Amaranthaceae family, Amaranthoideae and Chenopodioideae are now subfamilies, for the amaranths and the chenopods, respectively."
F00204,"Brassica juncea, also known as mustard greens, Indian mustard, Chinese mustard, and leaf mustard, is a species of mustard plant. Subvarieties include southern giant curled mustard, which resembles a headless cabbage such as kale, but with a distinct horseradish-mustard flavor. It is also known as green mustard cabbage."
F00205,"Soybean oil is a vegetable oil extracted from the seeds of the soybean (Glycine max). It is one of the most widely consumed cooking oils. As a drying oil, processed soybean oil is also used as a base for printing inks (soy ink) and oil paints."
F00206,"Sorghum is a genus of numerous species of grasses, one of which is raised for grain and many of which are used as fodder plants, either cultivated or as part of pasture. The plants are cultivated in warmer climates worldwide. Species are native to tropical and subtropical regions of all continents in addition to the southwest Pacific and Australasia. Sorghum is in the subfamily Panicoideae and the tribe of Andropogoneae."
F00207,"Myrica rubra, also called yangmei, yamamomo, Chinese Bayberry, Japanese Bayberry, Red Bayberry, Yumberry, Waxberry, or Chinese strawberry tree (and often mistranslated from Chinese as arbutus) is a subtropical tree grown for its sweet, crimson to dark purple-red, edible fruit."
F00208,"Chinese chives (commonly known as garlic chives, Chinese chives, Oriental garlic, Chinese leek). The plant has a distinctive growth habit with strap-shaped leaves unlike either onion or garlic, and straight thin white-flowering stalks that are much taller than the leaves. The flavor is more like garlic than chives. It grows in slowly expanding perennial clumps, but also readily sprouts from seed. In warmer areas, garlic chives may remain green all year round. In cold climates, aerial parts of garlic chives will die back completely to the ground and the roots/rhizomes will over-winter and then re-sprout in spring time."
F00209,"Agaricus bisporus—known variously when white as common mushroom, button mushroom, white mushroom, cultivated mushroom, table mushroom, champignon mushroom, crimini mushroom, when brown as Swiss brown mushroom, Roman brown mushroom, Italian brown, Italian mushroom, brown cap mushrooms, chestnut mushroom, and when mature as Portobello mushroom—is an edible basidiomycete mushroom native to grasslands in Europe and North America. Agaricus bisporus is cultivated in more than 70 countries and is one of the most commonly and widely consumed mushrooms in the world."
F00210,"The lemon is a small evergreen tree native to Asia, and the tree's ellipsoidal yellow fruit. The fruit is used for culinary and non-culinary purposes throughout the world, primarily for its juice, though the pulp and rind are also used in cooking and baking. The juice of the lemon is about 5% to 6% citric acid, which gives lemons a sour taste. The distinctive sour taste of lemon juice makes it a key ingredient in drinks and foods such as lemonade."
F00211,"Vitis vinifera (Common Grape Vine) is a species of Vitis, native to the Mediterranean region, central Europe, and southwestern Asia, from Morocco and Portugal north to southern Germany and east to northern Iran. It is a liana growing to 35 yards tall, with flaky bark. The leaves are alternate, palmately lobed, 5–20 cm long and broad. The fruit is a berry, known as a grape; in the wild species it is 6 mm diameter and ripens dark purple to blackish with a pale wax bloom; in cultivated plants it is usually much larger, up to 3 cm long, and can be green, red, or purple (black). The species typically occurs in humid forests and streamsides. The wild grape is often classified as V. vinifera subsp. sylvestris (in some classifications considered Vitis sylvestris), with V. vinifera subsp. vinifera restricted to cultivated forms. Domesticated vines have hermaphrodite flowers, but subsp. sylvestris is dioecious and pollination is required for fruit to develop. The grape is eaten fresh, processed to make wine, or dried to produce raisins. Cultivars of Vitis vinifera form the basis of the majority of wines produced around the world. All of the familiar wine varieties belong to Vitis vinifera, which is cultivated on every continent except for Antarctica, and in all the major wine regions of the world."
F00212,"Buckwheat (Fagopyrum esculentum) is a plant cultivated for its grain-like seeds, and also used as a cover crop. Despite the name, buckwheat is not related to wheat, as it is not a grass; instead, buckwheat is related to sorrel, knotweed, and rhubarb. The cultivation of buckwheat grain declined sharply in the 20th century with the adoption of nitrogen fertilizer that increased the productivity of other staples. A related species, Fagopyrum tataricum (Tartary buckwheat) is also cultivated as a grain in the Himalayas."
F00213,"Wild celery is a common name for several plants Wild celery may refer to Wild growing forms of celery, Apium graveolens Angelica archangelica, cultivated as a vegetable and medicinal plant Lovage, Levisticum officinale, sometimes known as wild celery Vallisneria americana, an aquatic plant in the Hydrocharitaceae family"
F00214,"Watermelon (Citrullus lanatus, family Cucurbitaceae) is a vine-like (scrambler and trailer) flowering plant originally from southern Africa. Its fruit, which is also called watermelon, is a special kind referred to by botanists as a pepo, a berry which has a thick rind and fleshy center (mesocarp and endocarp). Pepos are derived from an inferior ovary, and are characteristic of the Cucurbitaceae. The watermelon fruit, loosely considered a type of melon – although not in the genus Cucumis – has a smooth exterior rind (green, yellow and sometimes white) and a juicy, sweet interior flesh (usually deep red to pink, but sometimes orange, yellow and even green if not ripe)."
F00215,"Scallions (also known as green onions, spring onions, chinese onions, or salad onions) are vegetables of various Allium onion species. Scallions have a milder taste than most onions. Their close relatives include garlic, shallot, leek,chive,and Chinese onion."
